date,close,turnover_rate,ma5
2024-01-02,13.12,1.3,
2024-01-03,12.42,2.66,
2024-01-04,12.31,1.38,
2024-01-05,12.09,1.74,
2024-01-08,11.68,1.44,12.32
2024-01-09,11.8,1.02,12.06
2024-01-10,11.53,1.0,11.88
2024-01-11,11.69,1.21,11.76
2024-01-12,11.69,0.92,11.68
2024-01-15,11.71,0.78,11.68
2024-01-16,11.39,1.52,11.6
2024-01-17,11.15,0.9,11.53
2024-01-18,11.17,1.73,11.42
2024-01-19,11.04,0.67,11.29
2024-01-22,10.23,1.75,11.0
2024-01-23,10.29,1.27,10.78
2024-01-24,10.49,1.37,10.64
2024-01-25,11.17,1.9,10.64
2024-01-26,10.88,1.12,10.61
2024-01-29,10.49,1.48,10.66
2024-01-30,10.18,0.94,10.64
2024-01-31,9.64,2.07,10.47
2024-02-01,9.52,1.4,10.14
2024-02-02,9.22,2.02,9.81
2024-02-05,8.48,2.86,9.41
2024-02-06,9.29,2.57,9.23
2024-02-07,9.89,2.54,9.28
2024-02-08,10.41,2.28,9.46
2024-02-19,10.38,1.75,9.69
2024-02-20,10.61,1.78,10.12
2024-02-21,10.57,2.34,10.37
2024-02-22,10.59,1.69,10.51
2024-02-23,10.57,1.88,10.54
2024-02-26,10.67,1.95,10.6
2024-02-27,10.92,1.34,10.66
2024-02-28,10.16,2.41,10.58
2024-02-29,10.64,1.7,10.59
2024-03-01,10.63,1.72,10.6
2024-03-04,10.64,1.3,10.6
2024-03-05,10.62,2.0,10.54
2024-03-06,10.66,1.66,10.64
2024-03-07,10.43,1.12,10.6
2024-03-08,10.55,1.36,10.58
2024-03-11,10.9,2.43,10.63
2024-03-12,11.05,2.36,10.72
2024-03-13,11.22,2.66,10.83
2024-03-14,11.18,1.9,10.98
2024-03-15,11.43,1.77,11.16
2024-03-18,11.66,1.89,11.31
2024-03-19,11.85,2.82,11.47
2024-03-20,12.17,2.42,11.66
2024-03-21,12.7,3.51,11.96
2024-03-22,12.31,2.8,12.14
2024-03-25,11.75,2.48,12.16
2024-03-26,12.2,2.69,12.23
2024-03-27,11.72,2.89,12.14
2024-03-28,12.4,3.81,12.08
2024-03-29,12.97,4.49,12.21
2024-04-01,12.95,5.39,12.45
2024-04-02,12.8,3.76,12.57
2024-04-03,12.39,3.23,12.7
2024-04-08,12.17,2.57,12.66
2024-04-09,12.78,4.03,12.62
2024-04-10,12.19,2.73,12.47
2024-04-11,11.78,2.85,12.26
2024-04-12,11.66,1.58,12.12
2024-04-15,11.45,2.23,11.97
2024-04-16,10.83,2.45,11.58
2024-04-17,11.3,1.87,11.4
2024-04-18,11.69,2.6,11.39
2024-04-19,10.75,5.51,11.2
2024-04-22,10.57,2.03,11.03
2024-04-23,10.41,1.33,10.94
2024-04-24,10.6,1.14,10.8
2024-04-25,10.52,1.12,10.57
2024-04-26,10.91,1.76,10.6
2024-04-29,11.25,1.74,10.74
2024-04-30,10.85,1.89,10.83
2024-05-06,11.18,1.56,10.94
2024-05-07,11.13,1.1,11.06
2024-05-08,10.65,1.8,11.01
2024-05-09,10.82,1.15,10.93
2024-05-10,10.56,1.38,10.87
2024-05-13,10.25,1.25,10.68
2024-05-14,10.21,1.13,10.5
2024-05-15,10.07,1.04,10.38
2024-05-16,10.17,1.38,10.25
2024-05-17,10.84,3.4,10.31
2024-05-20,10.72,2.99,10.4
2024-05-21,10.46,1.52,10.45
2024-05-22,10.72,1.96,10.58
2024-05-23,10.23,1.82,10.59
2024-05-24,9.88,2.0,10.4
2024-05-27,10.02,1.36,10.26
2024-05-28,9.8,1.45,10.13
2024-05-29,9.85,0.91,9.96
2024-05-30,9.87,1.18,9.88
2024-05-31,9.95,0.93,9.9
2024-06-03,9.72,1.45,9.84
2024-06-04,9.56,1.84,9.79
2024-06-05,9.46,1.07,9.71
2024-06-06,9.21,1.69,9.58
2024-06-07,9.33,0.94,9.46
2024-06-11,9.52,1.08,9.42
2024-06-12,9.51,0.9,9.41
2024-06-13,9.56,0.9,9.43
2024-06-14,9.58,0.89,9.5
2024-06-17,9.75,1.2,9.58
2024-06-18,9.86,1.08,9.65
2024-06-19,9.7,0.87,9.69
2024-06-20,9.49,0.87,9.68
2024-06-21,9.52,0.71,9.66
2024-06-24,8.95,1.76,9.5
2024-06-25,8.81,1.05,9.29
2024-06-26,9.34,1.4,9.22
2024-06-27,9.14,0.9,9.15
2024-06-28,9.33,1.07,9.11
2024-07-01,9.17,1.14,9.16
2024-07-02,9.07,0.76,9.21
2024-07-03,9.04,0.64,9.15
2024-07-04,8.82,0.83,9.09
2024-07-05,8.89,0.8,9.0
2024-07-08,8.65,0.75,8.89
2024-07-09,9.03,1.15,8.89
2024-07-10,9.06,0.86,8.89
2024-07-11,9.41,1.3,9.01
2024-07-12,9.27,0.61,9.08
2024-07-15,9.17,0.64,9.19
2024-07-16,9.42,1.32,9.27
2024-07-17,9.23,1.13,9.3
2024-07-18,9.07,1.03,9.23
2024-07-19,9.07,0.64,9.19
2024-07-22,9.27,1.24,9.21
2024-07-23,8.92,1.02,9.11
2024-07-24,8.77,0.96,9.02
2024-07-25,8.77,0.83,8.96
2024-07-26,9.02,0.87,8.95
2024-07-29,9.32,1.6,8.96
2024-07-30,9.07,1.45,8.99
2024-07-31,9.61,2.28,9.16
2024-08-01,9.49,1.17,9.3
2024-08-02,9.46,1.59,9.39
2024-08-05,8.95,1.7,9.32
2024-08-06,9.07,0.82,9.32
2024-08-07,9.0,0.61,9.19
2024-08-08,9.15,1.33,9.13
2024-08-09,10.07,5.21,9.25
2024-08-12,9.91,7.72,9.44
2024-08-13,9.79,4.57,9.58
2024-08-14,10.0,5.13,9.78
